activation,avg_loss,batch_size,block_size,chunk_size,config_name,embed_size,epoch,grad_norm,grad_norm_postclip,grad_norm_preclip,inner_layers,k,learning_rate,max_param_grad,model_type,num_epochs,perplexity,tinystories_weight,token_accuracy,token_drift_cosine,val_loss,weight_norm
gelu,10.149445724487304,32,64,2,kvcache_transformer_tsw0.9_bs32_lr0.001_actgelu_ep3_mlp3_k2_cs2_blk64_emb32_20250424_010511,32,3,0.681746477980017,0.669140363874228,0.669140363874228,3,2,0.001,0.1039193615317344,kvcache_transformer,3,25576.921615733834,0.9,0.0763888955116272,,9.963431626558304,1275.8395074541509
gelu,10.121692657470703,32,64,1,deepseek_latent_attention_tsw0.9_bs32_lr0.001_actgelu_ep3_mlp5_k2_cs1_blk64_emb32_20250424_010603,32,3,0.7281530731212233,0.7205762482386312,0.7205762482386312,5,2,0.001,0.1240092262625694,deepseek_latent_attention,3,24876.84319245249,0.9,0.0481150820851326,,9.974581241607666,1279.2016857393796
gelu,10.14222755432129,32,64,2,kvcache_transformer_tsw0.9_bs32_lr0.001_actgelu_ep3_mlp5_k3_cs2_blk64_emb32_20250424_010502,32,3,0.6964057715836016,0.6718215970780903,0.6718215970780903,5,3,0.001,0.1132361963391304,kvcache_transformer,3,25392.967747048133,0.9,0.073908731341362,,9.983093470335008,1275.1818584235016
gelu,10.144284439086912,32,64,1,deepseek_latent_attention_tsw0.9_bs32_lr0.001_actgelu_ep3_mlp3_k3_cs1_blk64_emb32_20250424_010553,32,3,0.6951463675773566,0.707762729705441,0.707762729705441,3,3,0.001,0.1506099879741668,deepseek_latent_attention,3,25445.25190837493,0.9,0.0352182574570179,,9.991383254528046,1277.6356359145395
gelu,10.193852424621582,32,64,1,kvcache_transformer_tsw0.9_bs32_lr0.001_actgelu_ep3_mlp5_k3_cs1_blk64_emb32_20250424_010544,32,3,0.6881663461845107,0.6719447298889032,0.6719447298889032,5,3,0.001,0.1142283082008361,kvcache_transformer,3,26738.30404162595,0.9,0.0223214291036129,,10.023911207914352,1275.2034001634267
gelu,10.198774337768556,32,64,2,kvcache_transformer_tsw0.9_bs32_lr0.001_actgelu_ep3_mlp5_k2_cs2_blk64_emb32_20250424_010454,32,3,0.6837995985979033,0.6766086809900476,0.6766086809900476,5,2,0.001,0.1033593043684959,kvcache_transformer,3,26870.232054594835,0.9,0.0436507947742939,,10.026114106178284,1276.0140181916
gelu,10.210805892944336,32,64,1,deepseek_latent_attention_tsw0.9_bs32_lr0.001_actgelu_ep3_mlp3_k2_cs1_blk64_emb32_20250424_010527,32,3,0.6909913594986504,0.6917302700028434,0.6917302700028434,3,2,0.001,0.1348838776350021,deepseek_latent_attention,3,27195.4754023237,0.9,0.0257936529815197,,10.053475946187971,1279.6996368528564
gelu,10.288845634460449,32,64,1,kvcache_transformer_tsw0.9_bs32_lr0.001_actgelu_ep3_mlp3_k3_cs1_blk64_emb32_20250424_010519,32,3,0.6568265410743613,0.6526019511112929,0.6526019511112929,3,3,0.001,0.1137383699417114,kvcache_transformer,3,29402.81315991109,0.9,0.0218253973871469,,10.118604123592377,1274.2544297812285
gelu,10.58419361114502,32,64,2,kgram_mlp_seq_tsw0.9_bs32_lr0.001_actgelu_ep3_mlp3_k2_cs2_blk64_emb32_20250424_010537,32,3,0.6276009237013694,0.591521033837502,0.591521033837502,3,2,0.001,0.1266944169998169,kgram_mlp_seq,3,39505.43795439087,0.9,0.0099206352606415,,10.484314650297163,1274.6371338785682
gelu,10.774316596984864,32,64,1,lstm_seq_tsw0.9_bs32_lr0.001_actgelu_ep3_mlp5_k3_cs1_blk64_emb32_20250424_010613,32,3,0.121622600453816,0.1123230526372612,0.1123230526372612,5,3,0.001,0.0441559821367263,lstm_seq,3,47777.81058446409,0.9,0.03125,,10.757055222988129,1275.7383039467134
